Album,Artist,Genre,Score,Best New Music,Reviewer,Reviewer Detail,Date,URL
Fake Sugar,Beth Ditto,Rock,6.1,,Laura Snapes,Contributor,"Mon, 26 Jun 2017 05:00:00 GMT",/reviews/albums/beth-ditto-fake-sugar/
Rembo,Karen Gwyer,Electronic,7.4,,Chal Ravens,Contributor,"Mon, 26 Jun 2017 05:00:00 GMT",/reviews/albums/karen-gwyer-rembo/
...Of the Dark Light,Suffocation,Metal,7.0,,Saby Reyes-Kulkarni,Contributor,"Mon, 26 Jun 2017 05:00:00 GMT",/reviews/albums/suffocation-of-the-dark-light/
Blight Upon Martyred Sentience,Impetuous Ritual,,7.9,,Andy O'Connor,Contributor,"Mon, 26 Jun 2017 05:00:00 GMT",/reviews/albums/impetuous-ritual-blight-upon-martyred-sentience/
Tres Hombres,ZZ Top,Rock,9.0,,Andy Beta,Contributor,"Sun, 25 Jun 2017 05:00:00 GMT",/reviews/albums/zz-top-tres-hombres/
Iteration,Com Truise,Electronic,6.7,,Saby Reyes-Kulkarni,Contributor,"Sat, 24 Jun 2017 05:00:00 GMT",/reviews/albums/com-truise-iteration/
13 Thirteen,Keith Rowe/Michael Pisaro,Experimental,7.5,,Marc Masters,Contributor,"Sat, 24 Jun 2017 05:00:00 GMT",/reviews/albums/keith-rowe-michael-pisaro-13-thirteen/
SATURATION,BROCKHAMPTON,Rap,6.5,,Matthew Strauss,Associate Editor,"Sat, 24 Jun 2017 05:00:00 GMT",/reviews/albums/brockhampton-saturation/
Not Two,Amir ElSaffar/Rivers of Sound,"Jazz, Global",7.9,,Seth Colter Walls,Contributor,"Sat, 24 Jun 2017 05:00:00 GMT",/reviews/albums/amir-elsaffar-rivers-of-sound-not-two/
Big Fish Theory,Vince Staples,Rap,8.7,Best new music,Sheldon Pearce,Contributing Writer,"Fri, 23 Jun 2017 05:00:00 GMT",/reviews/albums/big-fish-theory/
A Place I’ll Always Go,Palehound,Rock,7.3,,Jillian Mapes,Senior Editor,"Fri, 23 Jun 2017 05:00:00 GMT",/reviews/albums/a-place-ill-always-go/
H.E.R. Vol. 2 EP,H.E.R.,Pop/R&B,7.8,,Briana Younger,Contributor,"Fri, 23 Jun 2017 05:00:00 GMT",/reviews/albums/her-vol-2-ep/
Smiley Face,Showtime Goma,Rock,6.9,,Cameron Cook,Contributor,"Fri, 23 Jun 2017 05:00:00 GMT",/reviews/albums/smiley-face/
OK Computer OKNOTOK 1997 2017,Radiohead,Rock,10.0,Best new reissue,Jayson Greene,Contributing Editor,"Thu, 22 Jun 2017 05:00:00 GMT",/reviews/albums/radiohead-ok-computer-oknotok-1997-2017/
So You Wannabe an Outlaw,Steve Earle & the Dukes,Folk/Country,7.7,,Sam Sodomsky,Associate Staff Writer,"Thu, 22 Jun 2017 05:00:00 GMT",/reviews/albums/steve-earle-and-the-dukes-so-you-wannabe-an-outlaw/
AFTER...,Fhloston Paradigm,Electronic,7.5,,Karas Lamb,Contributor,"Thu, 22 Jun 2017 05:00:00 GMT",/reviews/albums/fhloston-paradigm-after/
Shadow Expert EP,Palm,Rock,7.6,,Matt Grosinger,Contributor,"Thu, 22 Jun 2017 05:00:00 GMT",/reviews/albums/palm-shadow-expert-ep/
City Music,Kevin Morby,Rock,8.1,,Laura Snapes,Contributor,"Wed, 21 Jun 2017 05:00:00 GMT",/reviews/albums/kevin-morby-city-music/
“Abysmal Thoughts”,The Drums,Pop/R&B,7.4,,Erin Vanderhoof,Contributor,"Wed, 21 Jun 2017 05:00:00 GMT",/reviews/albums/the-drums-abysmal-thoughts/
Chasing an Illusion,Larkin Grimm,Folk/Country,7.1,,Sasha Geffen,Contributor,"Wed, 21 Jun 2017 05:00:00 GMT",/reviews/albums/larkin-grimm-chasing-an-illusion/
Subtle Vertigo,Scott Gilmore,Experimental,7.2,,Philip Sherburne,Contributing Editor,"Wed, 21 Jun 2017 05:00:00 GMT",/reviews/albums/scott-gilmore-subtle-vertigo/
Beautiful Thugger Girls,Young Thug,Rap,8.0,,Paul A. Thompson,Contributor,"Tue, 20 Jun 2017 05:00:00 GMT",/reviews/albums/young-thug-beautiful-thugger-girls/
The Fifth State of Consciousness,Peaking Lights,Electronic,7.6,,Marc Masters,Contributor,"Tue, 20 Jun 2017 05:00:00 GMT",/reviews/albums/peaking-lights-the-fifth-state-of-consciousness/
Hudson,Hudson,Jazz,7.5,,Seth Colter Walls,Contributor,"Tue, 20 Jun 2017 05:00:00 GMT",/reviews/albums/hudson-hudson/
OUÏ,Camille,Pop/R&B,7.6,,Laura Snapes,Contributor,"Tue, 20 Jun 2017 05:00:00 GMT",/reviews/albums/camille-oui/
Boomiverse,Big Boi,Rap,7.4,,Jayson Greene,Contributing Editor,"Mon, 19 Jun 2017 05:00:00 GMT",/reviews/albums/big-boi-boomiverse/
Weather Diaries,Ride,Rock,6.3,,Ben Cardew,Contributor,"Mon, 19 Jun 2017 05:00:00 GMT",/reviews/albums/ride-weather-diaries/
Witness,Benjamin Booker,Rock,8.1,,H. Drew Blackburn,Contributor,"Mon, 19 Jun 2017 05:00:00 GMT",/reviews/albums/benjamin-booker-witness/
House and Land,House and Land,Folk/Country,7.8,,Sam Sodomsky,Associate Staff Writer,"Mon, 19 Jun 2017 05:00:00 GMT",/reviews/albums/house-and-land-house-and-land/
The Writing’s on the Wall,Destiny’s Child,Pop/R&B,9.0,,Katherine St. Asaph,Contributor,"Sun, 18 Jun 2017 05:00:00 GMT",/reviews/albums/destinys-child-the-writings-on-the-wall/
Can — The Singles,Can,Experimental,6.4,,Andy Beta,Contributor,"Sat, 17 Jun 2017 05:00:00 GMT",/reviews/albums/can-can-the-singles/
The Nashville Sound,Jason Isbell and the 400 Unit,Folk/Country,6.3,,Sam Sodomsky,Associate Staff Writer,"Sat, 17 Jun 2017 05:00:00 GMT",/reviews/albums/jason-isbell-and-the-400-unit-the-nashville-sound/
Adiós,Glen Campbell,Folk/Country,5.7,,Stephen Thomas Erlewine,Contributor,"Sat, 17 Jun 2017 05:00:00 GMT",/reviews/albums/glen-campbell-adios/
Symbolic Use of Light,UMFANG,Electronic,7.8,,Philip Sherburne,Contributing Editor,"Sat, 17 Jun 2017 05:00:00 GMT",/reviews/albums/umfang-symbolic-use-of-light/
Melodrama,Lorde,Pop/R&B,8.8,Best new music,Stacey Anderson,Associate Features Editor,"Fri, 16 Jun 2017 05:00:00 GMT",/reviews/albums/lorde-melodrama/
Pretty Girls Like Trap Music,2 Chainz,Rap,8.0,,Paul A. Thompson,Contributor,"Fri, 16 Jun 2017 05:00:00 GMT",/reviews/albums/2-chainz-pretty-girls-like-trap-music/
Rose Colored Corner,Lynn Castle,"Experimental, Folk/Country",7.5,,Rebecca Bengal,Contributor,"Fri, 16 Jun 2017 05:00:00 GMT",/reviews/albums/lynn-castle-rose-colored-corner/
Trouble Maker,Rancid,Rock,7.3,,Zoe Camp,Contributor,"Fri, 16 Jun 2017 05:00:00 GMT",/reviews/albums/rancid-trouble-maker/
Crack-Up,Fleet Foxes,Folk/Country,8.7,Best new music,Ian Cohen,Contributor,"Thu, 15 Jun 2017 05:00:00 GMT",/reviews/albums/fleet-foxes-crack-up/
Thot Breaker,Chief Keef,Rap,8.0,,Sheldon Pearce,Contributing Writer,"Thu, 15 Jun 2017 05:00:00 GMT",/reviews/albums/chief-keef-thot-breaker/
Modern Species,DJ Sports,Electronic,7.8,,Philip Sherburne,Contributing Editor,"Thu, 15 Jun 2017 05:00:00 GMT",/reviews/albums/dj-sports-modern-species/
In a Mood,Slow Dancer,Rock,7.2,,Erin Vanderhoof,Contributor,"Thu, 15 Jun 2017 05:00:00 GMT",/reviews/albums/slow-dancer-in-a-mood/
Witness,Katy Perry,Pop/R&B,4.8,,Jillian Mapes,Senior Editor,"Wed, 14 Jun 2017 05:00:00 GMT",/reviews/albums/katy-perry-witness/
City of No Reply,Amber Coffman,Pop/R&B,7.8,,Sasha Geffen,Contributor,"Wed, 14 Jun 2017 05:00:00 GMT",/reviews/albums/amber-coffman-city-of-no-reply/
Sugar at the Gate,TOPS,Pop/R&B,7.4,,Kevin Lozano,Tracks Coordinator,"Wed, 14 Jun 2017 05:00:00 GMT",/reviews/albums/tops-sugar-at-the-gate/
Selfless,Joni Void,"Experimental, Jazz",7.7,,Stuart Berman,Contributor,"Wed, 14 Jun 2017 05:00:00 GMT",/reviews/albums/joni-void-selfless/
CTRL,SZA,Pop/R&B,8.4,Best new music,Claire Lobenfeld,Contributor,"Tue, 13 Jun 2017 05:00:00 GMT",/reviews/albums/sza-ctrl/
Planetarium,Sufjan Stevens/Nico Muhly/Bryce Dessner/James McAlister,"Folk/Country, Electronic, Experimental",6.0,,Thea Ballard,Contributor,"Tue, 13 Jun 2017 05:00:00 GMT",/reviews/albums/stevens-muhly-dessner-mcalister-planetarium/
Peasant,Richard Dawson,,8.0,,Sam Sodomsky,Associate Staff Writer,"Tue, 13 Jun 2017 05:00:00 GMT",/reviews/albums/richard-dawson-peasant/
Chuck,Chuck Berry,Rock,6.3,,Evan Minsker,Deputy News Editor,"Tue, 13 Jun 2017 05:00:00 GMT",/reviews/albums/chuck-berry-chuck/
S.A.N.D.A.S,SahBabii,Rap,6.6,,Sheldon Pearce,Contributing Writer,"Tue, 13 Jun 2017 05:00:00 GMT",/reviews/albums/sahbabii-sandas/
Lindsey Buckingham / Christine McVie,Lindsey Buckingham/Christine McVie,"Rock, Folk/Country",6.2,,Sean T. Collins,Contributor,"Mon, 12 Jun 2017 05:00:00 GMT",/reviews/albums/23221-lindsey-buckingham-christine-mcvie/
The Age of Anxiety,Pixx,Pop/R&B,6.5,,Calum Marsh,Contributor,"Mon, 12 Jun 2017 05:00:00 GMT",/reviews/albums/23346-the-age-of-anxiety/
Club Coil EP,Murlo,Electronic,5.9,,Kevin Lozano,Tracks Coordinator,"Mon, 12 Jun 2017 05:00:00 GMT",/reviews/albums/23292-club-coil-ep/
Too Many Winters,Norska,Rock,7.2,,Andy O'Connor,Contributor,"Mon, 12 Jun 2017 05:00:00 GMT",/reviews/albums/23296-too-many-winters/
Very Necessary,Salt-N-Pepa,Rap,8.5,,Claire Lobenfeld,Contributor,"Sun, 11 Jun 2017 05:00:00 GMT",/reviews/albums/23309-very-necessary/
Platinum Tips + Ice Cream,Royal Trux,Rock,7.3,,Stuart Berman,Contributor,"Sat, 10 Jun 2017 05:00:00 GMT",/reviews/albums/23325-platinum-tips-ice-cream/
Home Counties,Saint Etienne,"Electronic, Rock",7.6,,Saby Reyes-Kulkarni,Contributor,"Sat, 10 Jun 2017 05:00:00 GMT",/reviews/albums/23357-home-counties/
Very Necessary,Salt-N-Pepa,Rap,8.5,,Claire Lobenfeld,Contributor,"Sun, 11 Jun 2017 05:00:00 GMT",/reviews/albums/23309-very-necessary/
Platinum Tips + Ice Cream,Royal Trux,Rock,7.3,,Stuart Berman,Contributor,"Sat, 10 Jun 2017 05:00:00 GMT",/reviews/albums/23325-platinum-tips-ice-cream/
Home Counties,Saint Etienne,"Electronic, Rock",7.6,,Saby Reyes-Kulkarni,Contributor,"Sat, 10 Jun 2017 05:00:00 GMT",/reviews/albums/23357-home-counties/
Towards Language,Arve Henriksen,"Global, Jazz",7.6,,Brian Howe,Contributor,"Sat, 10 Jun 2017 05:00:00 GMT",/reviews/albums/23342-towards-language/
Paradygm Shift,Robert Hood,Electronic,6.9,,Jesse Weiss,Contributor,"Sat, 10 Jun 2017 05:00:00 GMT",/reviews/albums/23380-paradygm-shift/
Capacity,Big Thief,Rock,8.3,Best new music,Quinn Moreland,Assistant Editor,"Fri, 09 Jun 2017 05:00:00 GMT",/reviews/albums/23280-capacity/
I Can't Go Home,Jimi Tents,Rap,7.8,,Sheldon Pearce,Contributing Writer,"Fri, 09 Jun 2017 05:00:00 GMT",/reviews/albums/23356-i-cant-go-home/
Smidley,Smidley,Experimental,7.5,,Ian Cohen,Contributor,"Fri, 09 Jun 2017 05:00:00 GMT",/reviews/albums/23345-smidley/
Dubbing in the Backyard,King Tubby & the Aggrovators,Global,7.4,,Andy Beta,Contributor,"Fri, 09 Jun 2017 05:00:00 GMT",/reviews/albums/23272-king-tubby-the-aggrovators-dubbing-in-the-backyard/
Ti Amo,Phoenix,Rock,7.0,,Marc Hogan,Senior Staff Writer,"Thu, 08 Jun 2017 05:00:00 GMT",/reviews/albums/23281-ti-amo/
All of This,Perera Elsewhere,Pop/R&B,7.6,,Briana Younger,Contributor,"Thu, 08 Jun 2017 05:00:00 GMT",/reviews/albums/23303-all-of-this/
Ideas of Beginnings,Mark McGuire,"Electronic, Rock, Experimental",7.7,,Sam Sodomsky,Associate Staff Writer,"Thu, 08 Jun 2017 05:00:00 GMT",/reviews/albums/23344-ideas-of-beginnings/
Cigarettes After Sex,Cigarettes After Sex,Experimental,7.4,,Cameron Cook,Contributor,"Thu, 08 Jun 2017 05:00:00 GMT",/reviews/albums/23308-cigarettes-after-sex/
hopeless fountain kingdom,Halsey,Pop/R&B,6.5,,Katherine St. Asaph,Contributor,"Wed, 07 Jun 2017 05:00:00 GMT",/reviews/albums/23301-hopeless-fountain-kingdom/
Somersault,Beach Fossils,"Experimental, Rock",7.3,,Philip Cosores,Contributor,"Wed, 07 Jun 2017 05:00:00 GMT",/reviews/albums/23278-beach-fossils-somersault/
Know No Better EP,Major Lazer,"Global, Pop/R&B",6.4,,Jonah Bromwich,Contributor,"Wed, 07 Jun 2017 05:00:00 GMT",/reviews/albums/23379-know-no-better-ep/
Five Years of Loving Notes,Various Artists,,7.6,,Andy Beta,Contributor,"Wed, 07 Jun 2017 05:00:00 GMT",/reviews/albums/23329-five-years-of-loving-notes/
RELAXER,alt-J,Rock,4.5,,Jayson Greene,Contributing Editor,"Tue, 06 Jun 2017 05:00:00 GMT",/reviews/albums/23315-relaxer/
I Used to Spend So Much Time Alone,Chastity Belt,Rock,7.4,,Sasha Geffen,Contributor,"Tue, 06 Jun 2017 05:00:00 GMT",/reviews/albums/23302-i-used-to-spend-so-much-time-alone/
"To Syria, With Love",Omar Souleyman,Global,6.5,,Andy Beta,Contributor,"Tue, 06 Jun 2017 05:00:00 GMT",/reviews/albums/23277-to-syria-with-love/
Different Days,The Charlatans UK,"Electronic, Rock",6.0,,Robert Ham,Contributor,"Tue, 06 Jun 2017 05:00:00 GMT",/reviews/albums/23247-different-days/
Droptopwop,Gucci Mane,Rap,7.3,,Paul A. Thompson,Contributor,"Mon, 05 Jun 2017 05:00:00 GMT",/reviews/albums/23355-droptopwop/
Balsams,Chuck Johnson,Experimental,8.1,,Marc Masters,Contributor,"Mon, 05 Jun 2017 05:00:00 GMT",/reviews/albums/23275-chuck-johnson-balsams/
The Best of Crime Rock,Chain and the Gang,"Electronic, Pop/R&B",7.7,,Stuart Berman,Contributor,"Mon, 05 Jun 2017 05:00:00 GMT",/reviews/albums/23283-chain-and-the-gang-the-best-of-crime-rock/
Vision,Pet Symmetry,Rock,6.8,,Evan Rytlewski,Contributor,"Mon, 05 Jun 2017 05:00:00 GMT",/reviews/albums/23294-vision/
Fantasy Club,tofubeats,Electronic,7.6,,Patrick St. Michel,Contributor,"Mon, 05 Jun 2017 05:00:00 GMT",/reviews/albums/23287-fantasy-club/
Supreme Clientele,Ghostface Killah,Rap,10.0,,Jeff Weiss,Contributor,"Sun, 04 Jun 2017 05:00:00 GMT",/reviews/albums/23207-supreme-clientele/
Ten Years Alive on the Infinite Plain,Tony Conrad,"Experimental, Rock",8.4,Best new reissue,Grayson Haver Currin,Contributor,"Sat, 03 Jun 2017 05:00:00 GMT",/reviews/albums/23155-ten-years-alive-on-the-infinite-plain/
Demolition 9,Martin Rev,Electronic,6.0,,Saby Reyes-Kulkarni,Contributor,"Sat, 03 Jun 2017 05:00:00 GMT",/reviews/albums/23154-demolition-9/
Horizonless,Loss,Metal,8.0,,Andy O'Connor,Contributor,"Sat, 03 Jun 2017 05:00:00 GMT",/reviews/albums/23240-horizonless/
"From the Heart, It’s a Start, a Work of Art",Shinichi Atobe,Electronic,8.1,,Philip Sherburne,Contributing Editor,"Sat, 03 Jun 2017 05:00:00 GMT",/reviews/albums/23300-from-the-heart-its-a-start-a-work-of-art/
Gone Now,Bleachers,Pop/R&B,6.1,,Sam Sodomsky,Associate Staff Writer,"Fri, 02 Jun 2017 05:00:00 GMT",/reviews/albums/23215-gone-now/
Insecurity Guard,Kettenkarussell,Electronic,8.0,,Philip Sherburne,Contributing Editor,"Fri, 02 Jun 2017 05:00:00 GMT",/reviews/albums/23341-insecurity-guard/
Still Bewitched,Look Blue Go Purple,Rock,8.3,Best new reissue,Quinn Moreland,Assistant Editor,"Fri, 02 Jun 2017 05:00:00 GMT",/reviews/albums/23338-still-bewitched/
I’m Not Your Man,Marika Hackman,Folk/Country,7.5,,Laura Snapes,Contributor,"Fri, 02 Jun 2017 05:00:00 GMT",/reviews/albums/23158-im-not-your-man/
Neva Left,Snoop Dogg,Rap,7.0,,Rebecca Haithcoat,Contributor,"Thu, 01 Jun 2017 05:00:00 GMT",/reviews/albums/23320-neva-left/
Waiting on a Song,Dan Auerbach,Rock,6.7,,Stuart Berman,Contributor,"Thu, 01 Jun 2017 05:00:00 GMT",/reviews/albums/23276-waiting-on-a-song/
Spots y Escupitajo,Elysia Crampton,Experimental,7.2,,Daniel Martin-McCormick,Contributor,"Thu, 01 Jun 2017 05:00:00 GMT",/reviews/albums/23340-spots-y-escupitajo/
Empirical House,Ricardo Villalobos,Electronic,7.3,,Philip Sherburne,Contributing Editor,"Thu, 01 Jun 2017 05:00:00 GMT",/reviews/albums/23273-empirical-house/
True to Self,Bryson Tiller,Pop/R&B,6.6,,David Turner,Contributor,"Wed, 31 May 2017 05:00:00 GMT",/reviews/albums/23339-true-to-self/
Sufi La EP,Swet Shop Boys,Rap,6.9,,Mehan Jayasuriya,Contributor,"Wed, 31 May 2017 05:00:00 GMT",/reviews/albums/23298-sufi-la-ep/
A Prayer for the Unemployed,First Hate,"Electronic, Pop/R&B",7.8,,Louis Pattison,Contributor,"Wed, 31 May 2017 05:00:00 GMT",/reviews/albums/23269-a-prayer-for-the-unemployed/
Capture,Thunder Dreamer,Rock,7.7,,Ian Cohen,Contributor,"Wed, 31 May 2017 05:00:00 GMT",/reviews/albums/23295-capture/
Black Laden Crown,Danzig,"Metal, Rock",6.4,,Andy O'Connor,Contributor,"Tue, 30 May 2017 05:00:00 GMT",/reviews/albums/23271-black-laden-crown/
MrLA,RJ,Rap,7.5,,Briana Younger,Contributor,"Tue, 30 May 2017 05:00:00 GMT",/reviews/albums/23297-mrla/
Bookhead EP,JJ DOOM,Rap,8.0,,Nate Patrin,Contributor,"Tue, 30 May 2017 05:00:00 GMT",/reviews/albums/23263-bookhead-ep/
Niggative Approach,Obnox,Rock,7.8,,Marc Masters,Contributor,"Tue, 30 May 2017 05:00:00 GMT",/reviews/albums/23248-niggative-approach/
Easter,Patti Smith Group,Rock,8.8,,Caryn Rose,Contributor,"Sun, 28 May 2017 05:00:00 GMT",/reviews/albums/23244-easter/
Is This the Life We Really Want?,Roger Waters,Rock,6.9,,Saby Reyes-Kulkarni,Contributor,"Sat, 27 May 2017 05:00:00 GMT",/reviews/albums/23266-is-this-the-life-we-really-want/
"Truth, Liberty & Soul - Live in NYC: The Complete 1982 NPR Jazz Alive! Recording",Jaco Pastorius,"Global, Jazz",8.1,,Michael J. Agovino,Contributor,"Sat, 27 May 2017 05:00:00 GMT",/reviews/albums/23126-truth-liberty-soul-live-in-nyc-the-complete-1982-npr-jazz-alive-recording/
And the Birds Flew Overhead,Mary Lattimore/Elysse Thebner Miller,Experimental,7.8,,Andy Beta,Contributor,"Sat, 27 May 2017 05:00:00 GMT",/reviews/albums/23267-and-the-birds-flew-overhead/
Stone Garden,Kikagaku Moyo,Experimental,6.0,,Patrick St. Michel,Contributor,"Sat, 27 May 2017 05:00:00 GMT",/reviews/albums/23286-stone-garden/
Teenage Emotions,Lil Yachty,Rap,6.8,,Sheldon Pearce,Contributing Writer,"Fri, 26 May 2017 05:00:00 GMT",/reviews/albums/23246-teenage-emotions/
Voices Bloom,James Place,,7.4,,Marc Masters,Contributor,"Fri, 26 May 2017 05:00:00 GMT",/reviews/albums/23265-voices-bloom/
Mulatu Of Ethiopia,Mulatu Astatke,"Jazz, Pop/R&B, Global",8.7,Best new reissue,Erin MacLeod,Contributor,"Fri, 26 May 2017 05:00:00 GMT",/reviews/albums/23241-mulatu-of-ethiopia/
Play What They Want,Man Forever,Experimental,7.9,,Jesse Jarnow,Contributor,"Fri, 26 May 2017 05:00:00 GMT",/reviews/albums/23122-play-what-they-want/
T-Wayne,T-Pain/Lil Wayne,Rap,6.1,,Jayson Greene,Contributing Editor,"Thu, 25 May 2017 05:00:00 GMT",/reviews/albums/23322-t-wayne/
The Following Mountain,Sam Amidon,Rock,7.0,,Brian Howe,Contributor,"Thu, 25 May 2017 05:00:00 GMT",/reviews/albums/23156-the-following-mountain/
Dreamcar,Dreamcar,Rock,5.8,,Zoe Camp,Contributor,"Thu, 25 May 2017 05:00:00 GMT",/reviews/albums/23293-dreamcar/
Close but Not Quite EP,Everything Is Recorded,Electronic,6.7,,Kevin Lozano,Tracks Coordinator,"Thu, 25 May 2017 05:00:00 GMT",/reviews/albums/23319-close-but-not-quite-ep/
You’re Welcome,Wavves,Rock,6.0,,Nina Corcoran,Contributor,"Wed, 24 May 2017 05:00:00 GMT",/reviews/albums/23261-youre-welcome/
The Magic City / No Guitars,Helium,Rock,8.5,Best new reissue,Amy Schroeder,Contributor,"Wed, 24 May 2017 05:00:00 GMT",/reviews/albums/23133-ends-with-and-the-dirt-of-luck-the-magic-city-no-guitars/
Ends With And,Helium,Rock,7.0,,Amy Schroeder,Contributor,"Wed, 24 May 2017 05:00:00 GMT",/reviews/albums/23133-ends-with-and-the-dirt-of-luck-the-magic-city-no-guitars/
The Dirt of Luck,Helium,Rock,8.0,,Amy Schroeder,Contributor,"Wed, 24 May 2017 05:00:00 GMT",/reviews/albums/23133-ends-with-and-the-dirt-of-luck-the-magic-city-no-guitars/
Shake the Shudder,!!!,Rock,7.3,,Stuart Berman,Contributor,"Wed, 24 May 2017 05:00:00 GMT",/reviews/albums/23257-shake-the-shudder/
Dr. Octagonecologyst,Dr. Octagon,"Electronic, Rap",8.7,Best new reissue,Nate Patrin,Contributor,"Wed, 24 May 2017 05:00:00 GMT",/reviews/albums/23101-dr-octagon-dr-octagonecologyst/
Singles: Original Motion Picture Soundtrack-Deluxe Edition,Various Artists,,8.7,Best new reissue,Eric Harvey,Contributor,"Tue, 23 May 2017 05:00:00 GMT",/reviews/albums/23306-singles-original-motion-picture-soundtrack-deluxe-edition/
Green Twins,Nick Hakim,Pop/R&B,7.9,,Sheldon Pearce,Contributing Writer,"Tue, 23 May 2017 05:00:00 GMT",/reviews/albums/23239-green-twins/
New Tab,Khotin,Electronic,7.8,,Philip Sherburne,Contributing Editor,"Tue, 23 May 2017 05:00:00 GMT",/reviews/albums/23088-new-tab/
The King & I,Faith Evans/The Notorious B.I.G.,"Pop/R&B, Rap",4.5,,Evan Rytlewski,Contributor,"Tue, 23 May 2017 05:00:00 GMT",/reviews/albums/23279-the-king-i/
Goths,The Mountain Goats,Rock,8.0,,Jeremy D. Larson,Senior Editor,"Mon, 22 May 2017 05:00:00 GMT",/reviews/albums/23153-goths/
Rubbish of the Floodwaters EP,Vatican Shadow,Experimental,7.2,,Andy O'Connor,Contributor,"Mon, 22 May 2017 05:00:00 GMT",/reviews/albums/23264-rubbish-of-the-floodwaters-ep/
The Never End EP,Hanna,Electronic,7.6,,Ben Cardew,Contributor,"Mon, 22 May 2017 05:00:00 GMT",/reviews/albums/23262-hanna-the-never-end-ep/
From Night to Night,New Jackson,Electronic,7.2,,Andy Beta,Contributor,"Mon, 22 May 2017 05:00:00 GMT",/reviews/albums/23233-from-night-to-night/
Rosewood Almanac,Will Stratton,"Folk/Country, Rock",7.0,,Saby Reyes-Kulkarni,Contributor,"Mon, 22 May 2017 05:00:00 GMT",/reviews/albums/23234-rosewood-almanac/
Violent Femmes,Violent Femmes,Rock,9.1,,Steven Hyden,Contributor,"Sun, 21 May 2017 05:00:00 GMT",/reviews/albums/23130-violent-femmes/
Missing Link EP,Nick Murphy,Electronic,6.2,,Patric Fallon,Contributor,"Sat, 20 May 2017 05:00:00 GMT",/reviews/albums/23291-missing-link-ep/
Shine,Wale,Rap,6.0,,Jonah Bromwich,Contributor,"Sat, 20 May 2017 05:00:00 GMT",/reviews/albums/23290-shine/
Nost,Ellen Allien,Electronic,7.6,,Stacey Anderson,Associate Features Editor,"Sat, 20 May 2017 05:00:00 GMT",/reviews/albums/23157-nost/
Agistri,Heather Trost,"Folk/Country, Rock, Pop/R&B",7.6,,Jesse Jarnow,Contributor,"Sat, 20 May 2017 05:00:00 GMT",/reviews/albums/23138-agistri/
Rocket,(Sandy) Alex G,Rock,8.4,Best new music,Ian Cohen,Contributor,"Fri, 19 May 2017 05:00:00 GMT",/reviews/albums/23127-rocket/
Common Sense,J Hus,Rap,7.8,,Paul A. Thompson,Contributor,"Fri, 19 May 2017 05:00:00 GMT",/reviews/albums/23288-common-sense/
DJ-Kicks,Michael Mayer,Electronic,7.4,,Philip Sherburne,Contributing Editor,"Fri, 19 May 2017 05:00:00 GMT",/reviews/albums/23238-dj-kicks/
United States of Horror,Ho99o9,Rap,6.7,,Zoe Camp,Contributor,"Fri, 19 May 2017 05:00:00 GMT",/reviews/albums/23289-united-states-of-horror/
Black Origami,Jlin,Electronic,8.8,Best new music,Andrew Nosnitsky,Contributor,"Thu, 18 May 2017 05:00:00 GMT",/reviews/albums/23119-black-origami/
spin,Tigers Jaw,Rock,7.2,,Ian Cohen,Contributor,"Thu, 18 May 2017 05:00:00 GMT",/reviews/albums/23096-spin/
Life After Youth,Land of Talk,Rock,7.0,,Nina Mashurova,Contributor,"Thu, 18 May 2017 05:00:00 GMT",/reviews/albums/23242-life-after-youth/
É Grau EP,MC Bin Laden,Global,7.7,,Kevin Lozano,Tracks Coordinator,"Thu, 18 May 2017 05:00:00 GMT",/reviews/albums/23259-mc-bin-laden-e-grau-ep/
Stubborn Persistent Illusions,Do Make Say Think,Rock,7.8,,Jay Balfour,Contributor,"Wed, 17 May 2017 05:00:00 GMT",/reviews/albums/23220-stubborn-persistent-illusions/
Passive Aggressive,Jonny Nash/Suzanne Kraft,"Electronic, Experimental",7.6,,Philip Sherburne,Contributing Editor,"Wed, 17 May 2017 05:00:00 GMT",/reviews/albums/23232-passive-aggressive/
Occult Architecture Vol. 2,Moon Duo,Rock,7.3,,Marc Masters,Contributor,"Wed, 17 May 2017 05:00:00 GMT",/reviews/albums/23212-occult-architecture-vol-2/
I Can Feel the Night Around Me,Nightlands,Rock,6.8,,Sam Sodomsky,Associate Staff Writer,"Wed, 17 May 2017 05:00:00 GMT",/reviews/albums/23193-i-can-feel-the-night-around-me/
Harry Styles,Harry Styles,Pop/R&B,6.8,,Jamieson Cox,Contributor,"Tue, 16 May 2017 05:00:00 GMT",/reviews/albums/23204-harry-styles/
The Bob’s Burgers Music Album,,,6.9,,Eric Thurm,Contributor,"Tue, 16 May 2017 05:00:00 GMT",/reviews/albums/23134-the-bobs-burgers-music-album/
Routines,Hoops,Rock,7.0,,Steven Arroyo,Contributor,"Tue, 16 May 2017 05:00:00 GMT",/reviews/albums/23258-routines/
Olden Goldies,Tall Juan,Rock,6.2,,Saby Reyes-Kulkarni,Contributor,"Tue, 16 May 2017 05:00:00 GMT",/reviews/albums/23073-golden-oldies/
After Laughter,Paramore,Rock,7.5,,Ryan Dombal,Senior Editor,"Mon, 15 May 2017 05:00:00 GMT",/reviews/albums/23237-after-laughter/
